# Output_value Multiplier
1.000 1.00000000
0.995 0.98161111
0.990 0.96311111
0.985 0.94444444
0.980 0.92572222
0.975 0.90688889
0.970 0.88800000
0.965 0.86905556
0.960 0.85005556
0.955 0.83105556
0.950 0.81205556
0.945 0.79311111
0.940 0.77416667
0.935 0.75527778
0.930 0.73644444
0.925 0.71772222
0.920 0.69911111
0.915 0.68055556
0.910 0.66216667
0.905 0.64394444
0.900 0.62583333
0.895 0.60794444
0.890 0.59027778
0.885 0.57277778
0.880 0.55550000
0.875 0.53850000
0.870 0.52177778
0.865 0.50533333
0.860 0.48916667
0.855 0.47333333
0.850 0.45777778
0.845 0.44255556
0.840 0.42783333
0.835 0.41333333
0.830 0.39933333
0.825 0.38572222
0.820 0.37255556
0.815 0.35977778
0.810 0.34750000
0.805 0.33572222
0.800 0.32438889
0.795 0.31361111
0.790 0.30333333
0.785 0.29361111
0.780 0.28438889
0.775 0.27583333
0.770 0.26783333
0.765 0.26044444
0.760 0.25366667
0.755 0.24755556
0.750 0.24211111
0.740 0.23244444
0.730 0.22305556
0.720 0.21394444
0.710 0.20511111
0.700 0.19650000
0.690 0.18811111
0.680 0.18000000
0.670 0.17211111
0.660 0.16444444
0.650 0.15705556
0.640 0.14983333
0.630 0.14288889
0.620 0.13611111
0.610 0.12955556
0.600 0.12327778
0.590 0.11716667
0.580 0.11122222
0.570 0.10555556
0.560 0.10000000
0.550 0.09472222
0.540 0.08961111
0.530 0.08466667
0.520 0.07988889
0.510 0.07533333
0.500 0.07088889
0.490 0.06672222
0.480 0.06266667
0.470 0.05883333
0.460 0.05511111
0.450 0.05155556
0.440 0.04816667
0.430 0.04488889
0.420 0.04177778
0.410 0.03883333
0.400 0.03605556
0.390 0.03338889
0.380 0.03083333
0.370 0.02844444
0.360 0.02616667
0.350 0.02400000
0.340 0.02200000
0.330 0.02005556
0.320 0.01827778
0.310 0.01661111
0.300 0.01500000
0.290 0.01355556
0.280 0.01216667
0.270 0.01088889
0.269 0.01077778
0.268 0.01061111
0.267 0.01050000
0.266 0.01038889
0.265 0.01027778
0.264 0.01016667
0.263 0.01005556
0.262 0.00000000
0.261 0.00000000
0.260 0.00000000
0.250 0.00000000
0.200 0.00000000
0.150 0.00000000
0.100 0.00000000
0.050 0.00000000
0.000 0.00000000
